;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;label
12451;686;48.0;56.0;389.0;216335.0;32.6;60;50.0;7052521.0;0;OUI;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-6836186.0;-227872.86666666676;61.0;2011;1
7295;3729;41.0;38.0;92.0;110000.0;32.92;24;43.0;3621200.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-3511200.0;-117040.0;40.0;2012;1
6608;5831;2.0;32.0;23.0;353208.0;32.9;48;5.0;11620543.2;0;OUI;MARIE;FONCTIONNAIRE;CAP;CDI;-11267335.2;-375577.84;36.0;2011;1
15516;7579;2.0;23.0;13.0;109476.0;32.62;24;2.0;3571107.12;0;NON;MARIE;CONNUE;CAP;CDI;-3461631.12;-115387.70399999998;25.0;2012;1
764;1603;60.0;48.0;60.0;929000.0;11.96;15;186.0;11110840.0;0;NON;MARIE;CONNUE;CAP;CDI;-10181840.0;-339394.66666666674;49.25;2012;1
12930;5256;25.0;34.0;71.0;346266.0;32.74;48;62.0;11336748.84;0;OUI;MARIE;FONCTIONNAIRE;CAP;CDI;-10990482.84;-366349.428;38.0;2011;1
17668;786;30.0;55.0;378.0;283925.0;31.69;60;46.0;8997583.25;0;OUI;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-8713658.25;-290455.275;60.0;2011;1
12778;7222;2.0;26.0;24.0;282500.0;32.93;24;3.0;9302725.0;1;NON;MARIE;RENSEIGNER;CAP;CDI;-9020225.0;-300674.16666666674;28.0;2012;1
4418;7362;4.0;26.0;11.0;154700.0;32.18;24;4.0;4978246.0;1;NON;CELIBATAIRE;CONNUE;CAP;CDI;-4823546.0;-160784.86666666667;28.0;2012;1
1489;1285;1.0;52.0;209.0;163660.0;32.9;24;1.0;5384414.0;0;NON;MARIE;FAVORISER;CAP;CDI;-5220754.0;-174025.13333333333;54.0;2011;1
1239;6243;21.0;30.0;52.0;140000.0;33.0;48;21.0;4620000.0;0;OUI;MARIE;FAVORISER;CAP_Rechargeable;CDI;-4480000.0;-149333.33333333337;34.0;2012;1
1995;3747;13.0;38.0;74.0;150000.0;32.44;18;13.0;4866000.0;0;NON;MARIE;RENSEIGNER;CAP_Rechargeable;CDI;-4716000.0;-157200.0;39.5;2012;1
889;7182;7.0;26.0;12.0;205800.0;32.98;36;7.0;6787283.999999999;0;NON;MARIE;CONNUE;CAP;CDI;-6581483.999999999;-219382.8;29.0;2011;1
9251;5261;44.0;34.0;78.0;400597.71;31.11;30;38.0;12462594.7581;0;OUI;MARIE;CONNUE;CAP;CDI;-12061997.0481;-402066.56827;36.5;2011;1
6571;1838;43.0;49.0;77.0;283700.0;32.71;60;69.0;9279827.0;0;OUI;CELIBATAIRE;FAVORISER;CAP;CDI;-8996127.0;-299870.9;54.0;2011;1
13857;6338;11.0;30.0;57.0;219857.0;32.92;36;11.0;7237692.44;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-7017835.44;-233927.84800000003;33.0;2012;1
11064;3077;14.0;41.0;56.0;90000.0;32.26;36;14.0;2903400.0;0;OUI;MARIE;CONNUE;CAP;CDI;-2813400.0;-93780.0;44.0;2012;1
1945;3815;28.0;40.0;103.0;144764.84;32.91;24;24.0;4764210.884399999;1;NON;CELIBATAIRE;CONNUE;CAP_Rechargeable;CDI;-4619446.044399999;-153981.5348133333;42.0;2011;1
11019;5057;9.0;34.0;15.0;90236.0;32.35;24;10.0;2919134.6;0;OUI;CELIBATAIRE;CONNUE;CAP;CDI;-2828898.6;-94296.62;36.0;2012;1
