;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;label
196;825;48.0;41.0;126.0;150000.0;32.86;18;48.0;49498.0;0;0;0;0;1;0;100502.0;3350.066666666666;42.5;2014;2;1;51;0;0;9;1;437856.5656846549;354195.0145666767;30.76080107132262;354672.1637394959;0
3481;3577;51.0;44.0;104.0;240000.0;32.970981313623;48;57.0;79929.65166939;0;1;0;1;1;0;160070.34833061;5335.678277687;48.0;2017;1;1;28;0;1;4;11;437856.5656846549;313671.6793187913;31.285981228209238;331852.0351742628;0
3223;3313;9.0;24.0;16.0;330700.0;32.915810286569005;24;16.0;109952.10567443;0;1;2;1;0;0;220747.89432557;7358.2631441856665;26.0;2017;0;0;1;0;0;10;11;348407.7354765545;313671.6793187913;31.611336366096918;354620.2513569526;0
608;624;63.0;31.0;85.0;723340.0;20.389261242969;48;101.0;148973.41643929;0;0;0;1;1;0;574366.58356071;19145.552785357;35.0;2017;1;0;5;2;1;26;11;348407.7354765545;313671.6793187913;31.285981228209238;413331.5938060608;0
12649;3357;38.0;58.0;124.0;274000.0;32.77;12;40.0;90313.0;0;0;0;0;0;0;183687.0;6122.9;59.0;2014;2;1;51;0;4;6;2;437856.5656846549;354195.0145666767;28.630300939908953;354672.1637394959;0
10992;397;12.0;22.0;21.0;130000.0;32.95;24;12.0;42935.0;0;1;2;1;0;0;87065.0;2902.166666666666;24.0;2014;0;0;15;0;0;11;1;348407.7354765545;313671.6793187913;31.611336366096918;343394.4938213339;0
4082;4791;52.0;48.0;341.0;427879.6;26.61;48;56.0;113361.0;0;0;1;3;1;0;314518.6;10483.953333333333;52.0;2014;1;1;57;2;1;4;11;437856.5656846549;462765.74141768547;31.285981228209238;492212.0405555554;0
4539;390;27.0;22.0;43.0;119000.0;32.96;24;27.0;39319.0;0;0;2;0;0;0;79681.0;2656.0333333333333;24.0;2013;2;0;7;0;0;3;11;348407.7354765545;354195.0145666767;31.611336366096918;344747.6512061669;0
5608;1034;48.0;46.0;275.0;140000.0;32.87;24;48.0;46124.0;0;0;0;0;1;0;93876.0;3129.2;48.0;2013;2;1;42;0;0;9;11;437856.5656846549;354195.0145666767;31.611336366096918;428823.9188461539;0
16820;6546;62.0;33.0;120.0;740000.0;32.96;24;62.0;244482.0;0;0;0;0;1;0;495518.0;16517.266666666666;35.0;2013;1;0;26;0;0;2;22;348407.7354765545;354195.0145666767;31.611336366096918;407503.0181769909;0
1432;1467;18.0;30.0;35.0;382937.0;32.499186209095996;15;27.0;125708.49362982;0;1;1;3;0;1;257228.50637018;8574.283545672666;31.25;2017;0;0;4;0;0;3;11;348407.7354765545;462765.74141768547;30.30912608524315;367332.77090690075;0
653;2717;38.0;36.0;79.0;230000.0;32.8;24;39.0;75613.0;0;0;0;0;0;0;154387.0;5146.233333333334;38.0;2014;2;0;25;0;0;6;2;348407.7354765545;354195.0145666767;31.611336366096918;405378.0481848188;0
1336;7351;39.0;33.0;39.0;4096000.0;8.53;6;55.0;352047.0;0;0;0;1;0;0;3743953.0;124798.43333333332;33.5;2013;2;0;18;3;4;4;11;348407.7354765545;313671.6793187913;29.104304835594373;361661.5960337501;0
