"taux_endettement_cleaned";"anciennete_emploi_cleaned";"age_cleaned";"anciennete_bni_cleaned";"duree_pret_cleaned";"year";"salaire_mensuel_cleaned";"nb_salaires_cleaned";"statut_marita_cleaned_UNIQUEVAL";"nature_CAP_cleaned_UNIQUEVAL";"type_contrat_cleaned";"mensualite_cleaned";"code_DTX_cleaned_UNIQUEVAL";"categorie_employeur_cleaned_UNIQUEVAL";"scorePred"
20,94;41;43;3;12;2012;525000;3;"marie";"cap";"cdi";109935;0;"entreprise_privée_à_renseigner";93,68
32,393425903767;16;37;8;13;2017;313000;1;"concubinage";"cap";"cdd";101391,423078791;0;"fonctionnaire";96,66
32,89;69;32;2;24;2012;114000;1;"marie";"cap";"cdi";37494,6;0;"entreprise_privée_connue";85,15
14,696928976073;78;27;67;48;2017;401400;58;"concubinage";"cap_2";"cdi";58993,472909957;0;"entreprise_privée_à_favoriser";95,94
32,51;397;56;119;25;2014;363000;54;"marie";"cap_rechargeable";"cdi";118011,3;0;"fonctionnaire";98,86
32,72;313;55;99;60;2014;280740;97;"marie";"cap_rechargeable";"cdi";91858,128;0;"fonctionnaire";96,75
23,56;132;58;305;20;2012;1222000;58;"marie";"cap";"cdi";287903,2;0;"fonctionnaire";99,51
32,69;63;49;15;24;2014;220000;15;"marie";"cap";"cdi";71918;0;"entreprise_privée_à_renseigner";93,57
26,06;65;40;16;28;2012;923724,4;15;"marie";"cap_rechargeable";"cdi";240722,57864;0;"fonctionnaire";98,39
32,19;74;33;11;48;2014;397871,4;10;"marie";"cap";"cdi";128074,80366;0;"fonctionnaire";96,96
32,58;105;54;43;24;2014;151265;43;"concubinage";"cap";"cdi";49282,137;0;"entreprise_privée_à_renseigner";91,89
32,87580244643;23;41;21;6;2017;355050,6;9;"celibataire";"cap_rechargeable";"cdd";116725,733840864;0;"fonctionnaire";96,21
31,997943191141;76;46;61;36;2017;275000;53;"marie";"cap";"cdi";87994,3437756377;0;"entreprise_privée_connue";95,11
32,898177103031;56;29;45;48;2017;255533;29;"celibataire";"cap_rechargeable";"cdi";84065,6988966882;0;"entreprise_privée_connue";92,94
32,993679793302;64;36;53;48;2017;284100;30;"celibataire";"cap_rechargeable";"cdi";93735,044292771;0;"entreprise_privée_connue";94,34
