;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;istest;label
18418;18418;5493;755;25.0;55.0;304.0;1199402.8;26.38;36;71.0;316402.45864;0;1;0;3;0;0;883000.3413600001;29433.344712000002;58.0;2011;0;1;44;2;2;29;11;437856.5656846549;462765.74141768547;31.286291191230358;476005.1097674418;0;1
32;32;18487;3001;68.0;41.0;17.0;1290000.0;28.11;9;68.0;362619.0;0;0;0;2;0;1;927381.0;30912.7;41.75;2012;1;1;1;2;4;29;15;437856.5656846549;636429.0148717947;30.53232018066045;354620.2513569526;0;1
12443;12443;5328;7198;81.0;52.0;82.0;1629500.0;21.96;9;99.0;357838.2;0;0;0;1;0;0;1271661.8;42388.72666666667;52.75;2013;3;1;25;2;4;26;12;437856.5656846549;313671.6793187913;30.53232018066045;405378.0481848188;0;1
12139;12139;13276;7190;65.0;34.0;76.0;1616436.0;30.52;24;69.0;493336.2672;0;1;0;1;1;0;1123099.7328;37436.65776;36.0;2013;1;0;12;0;0;29;12;348407.7354765545;313671.6793187913;31.61133636609692;387693.48423541867;0;1
20318;20318;15153;1983;25.0;48.0;143.0;3743482.54;31.7;24;143.0;1186683.9651799998;0;1;0;2;1;0;2556798.57482;85226.61916066668;50.0;2011;0;1;16;0;0;53;52;437856.5656846549;636429.0148717947;31.61133636609692;388715.8219059408;0;12
604;604;1701;1741;28.0;56.0;216.0;1114819.2;32.94636496237;24;105.0;367292.4023025735;0;1;0;3;0;0;747526.7976974265;24917.55992324755;58.0;2017;2;1;62;0;0;18;11;437856.5656846549;462765.74141768547;31.61133636609692;460490.761140351;2;1
15562;15562;13384;1420;25.0;51.0;313.0;1219659.0;32.43;24;191.0;395535.4137;0;0;0;3;1;0;824123.5863000002;27470.78621;53.0;2011;0;1;53;0;0;73;15;437856.5656846549;462765.74141768547;31.61133636609692;549625.806857143;0;1
1166;1166;17917;3466;81.0;39.0;99.0;2121995.2;20.92;24;81.0;443921.39584000007;0;1;0;3;1;0;1678073.80416;55935.79347200001;41.0;2012;3;0;10;2;0;12;32;348407.7354765545;462765.74141768547;31.61133636609692;325603.0885557085;2;3
8416;8416;3164;3389;62.0;41.0;66.0;1700000.0;31.34;28;64.0;532780.0;0;0;0;1;1;0;1167220.0;38907.333333333336;43.33333333333334;2011;1;1;2;0;2;2;11;437856.5656846549;313671.6793187913;31.60504892266274;380339.13418342726;0;1
16833;16833;18151;6363;66.0;33.0;68.0;1277537.38;30.89;24;67.0;394631.2966819999;0;1;2;2;0;0;882906.0833180001;29430.202777266666;35.0;2014;1;0;3;0;0;29;15;348407.7354765545;636429.0148717947;31.61133636609692;369368.16014648456;0;1
4329;4329;7150;190;303.0;58.0;423.0;1121082.8;32.6;29;303.0;365472.9928;0;1;0;3;0;0;755609.8072;25186.99357333333;60.41666666666666;2012;4;1;64;0;2;60;11;437856.5656846549;462765.74141768547;30.781702540896035;636250.9515277776;0;1
13921;13921;7597;37;55.0;60.0;265.0;1200000.0;30.54;12;373.0;366480.0;0;0;0;0;0;0;833520.0;27784.0;61.0;2012;1;1;20;0;4;65;16;437856.5656846549;354195.0145666767;28.630300939908953;449082.1656470589;0;1
2772;2772;2482;7106;27.0;31.0;53.0;1400000.0;32.72;12;27.0;458080.0;0;0;2;0;0;0;941920.0;31397.33333333333;32.0;2013;2;0;22;0;4;3;11;348407.7354765545;354195.0145666767;28.630300939908953;335757.89816463424;2;1
18822;18822;12753;55;25.0;61.0;373.0;1218060.0;31.68;32;368.0;385881.408;0;0;0;3;1;0;832178.5920000001;27739.2864;63.66666666666666;2011;0;2;9;0;2;47;15;871493.5023711338;462765.74141768547;31.92887929849713;537027.3882499997;0;1
